Limited tf.compat.v2.summary API due to missing TensorBoard installation.
Using SEED = 466
/home/xianlli/dataset/HSI/urban/Urban_corrected.mat
img shape: (150, 160, 162)
img_patches_nonzero: (12048, 7, 7, 162)
x_patches shape: (12048, 7, 7, 162), labels: [1 2 3 4 5 6 7]
constructing hypergraph...
construction completed. training clustering network...
epoch
epoch 388 ==> loss=5.9521904
epoch 389 ==> loss=5.9276395
epoch 390 ==> loss=5.903131
epoch 391 ==> loss=5.878732
epoch 392 ==> loss=5.8544602
epoch 393 ==> loss=5.8302674
epoch 394 ==> loss=5.8061585
epoch 395 ==> loss=5.782142
epoch 396 ==> loss=5.758249
epoch 397 ==> loss=5.734378
epoch 398 ==> loss=5.7106256
epoch 399 ==> loss=5.6869097
acc 0.6272410358565736 nmi 0.589017388109059 kappa 0.5608132198906154 ca [0.54971042 0.61054228 0.76566125 0.98550725 0.52863899 0.829718
 0.        ]
running time 679.63
finish
